district_code,latitude,longitude,month,loss_type_code,drought_score,flood_score,season_code,calamity_verified
6,21.32368,79.69032,7,7,0.2,0.6,1,0
7,20.42267,76.35709,4,3,0.6,0.25,3,0
10,20.13364,79.82469,11,1,0.2,0.7,2,0
5,19.17764,75.91351,5,5,0.85,0.15,3,0
35,20.18841,77.01156,2,1,0.65,0.25,2,0
25,19.30203,76.60659,9,3,0.75,0.25,1,1
28,17.17226,73.45485,9,2,0.1,0.7,1,0
5,18.95338,75.70908,11,1,0.85,0.15,2,0
26,18.70485,73.69379,2,5,0.4,0.5,2,0
32,17.62912,75.97121,3,2,0.9,0.1,2,1
6,21.31726,79.54811,8,2,0.2,0.6,1,0
13,21.17204,75.40233,11,8,0.65,0.35,2,1
5,18.8017,75.89033,11,8,0.85,0.15,2,0
30,17.81719,74.13285,7,1,0.4,0.55,1,1
32,17.71394,75.74634,11,0,0.9,0.1,2,1
35,20.21441,77.16651,6,2,0.65,0.25,1,0
15,16.87489,74.31515,5,5,0.2,0.7,3,0
17,19.16343,72.86943,12,5,0.1,0.8,2,1
18,19.17903,72.90776,2,3,0.1,0.75,2,1
33,19.111,72.90041,6,2,0.15,0.7,1,0
4,19.85055,75.20545,1,2,0.8,0.2,2,0
32,17.7518,75.8093,2,3,0.9,0.1,2,0
28,17.04541,73.26904,5,4,0.1,0.7,3,0
1,18.98198,74.62524,10,5,0.7,0.2,1,1
12,19.5837,77.03148,2,7,0.7,0.2,2,0
27,18.32714,73.29872,2,3,0.15,0.65,2,0
3,20.73049,77.78933,4,8,0.5,0.3,3,1
9,20.76433,74.83061,6,8,0.6,0.3,1,0
8,19.76465,79.12898,11,0,0.3,0.5,2,0
31,16.49405,73.78194,6,8,0.1,0.6,1,0
24,19.54112,72.79836,9,0,0.2,0.6,1,0
28,17.01386,73.11391,4,0,0.1,0.7,3,0
33,19.33981,73.04312,9,0,0.15,0.7,1,0
26,18.64858,73.66647,10,1,0.4,0.5,1,0
3,20.96791,77.79664,11,5,0.5,0.3,2,1
12,19.80563,77.27069,8,7,0.7,0.2,1,0
7,20.5512,76.21899,11,3,0.6,0.25,2,0
14,19.66414,75.77884,11,1,0.75,0.2,2,0
19,21.24771,79.23873,7,3,0.4,0.4,1,1
18,19.18131,72.80293,6,1,0.1,0.75,1,1
28,17.06209,73.13888,10,2,0.1,0.7,1,0
12,19.81087,77.24708,1,4,0.7,0.2,2,0
20,19.16732,77.3156,12,7,0.7,0.3,2,1
34,20.77909,78.71718,4,1,0.5,0.35,3,0
12,19.77262,77.24325,3,1,0.7,0.2,2,0
30,17.56239,74.14175,7,1,0.4,0.55,1,1
14,19.78369,75.91718,8,6,0.75,0.2,1,0
28,17.05269,73.24008,2,2,0.1,0.7,2,0
23,18.15681,75.97236,11,2,0.85,0.15,2,0
1,19.12515,74.91943,5,3,0.7,0.2,3,0
28,16.93269,73.3234,9,4,0.1,0.7,1,1
28,16.8979,73.13283,6,3,0.1,0.7,1,0
29,16.74988,74.442,1,6,0.6,0.5,2,1
14,20.03465,76.06605,12,3,0.75,0.2,2,0
29,16.8419,74.57624,9,6,0.6,0.5,1,0
20,19.23187,77.19074,7,3,0.7,0.3,1,0
1,18.95247,74.63382,7,7,0.7,0.2,1,0
1,19.26785,74.8133,7,6,0.7,0.2,1,0
8,19.77215,79.47238,8,0,0.3,0.5,1,0
19,21.18087,79.02943,5,4,0.4,0.4,3,0
9,21.09733,74.87097,1,8,0.6,0.3,2,0
11,21.42166,80.13081,4,1,0.2,0.65,3,0
18,19.09423,72.99713,9,6,0.1,0.75,1,0
25,19.21658,76.72847,5,0,0.75,0.25,3,1
25,19.28827,76.74777,1,0,0.75,0.25,2,0
8,19.9454,79.25191,10,1,0.3,0.5,1,0
6,21.29551,79.49357,12,4,0.2,0.6,2,0
15,16.74316,74.34595,12,3,0.2,0.7,2,0
21,21.52869,74.06851,7,6,0.5,0.4,1,0
15,16.69167,74.11782,4,4,0.2,0.7,3,0
27,18.55237,73.01585,12,2,0.15,0.65,2,0
13,21.00899,75.40929,4,8,0.65,0.35,3,0
31,16.46736,73.54409,7,7,0.1,0.6,1,0
7,20.4794,76.1906,6,0,0.6,0.25,1,1
22,20.16368,73.68123,6,4,0.5,0.4,1,1
8,19.85475,79.41221,8,0,0.3,0.5,1,0
10,20.28666,79.86988,9,1,0.2,0.7,1,1
35,20.09916,77.16414,12,1,0.65,0.25,2,0
35,20.12868,77.04278,12,6,0.65,0.25,2,0
25,19.30882,76.84034,2,2,0.75,0.25,2,0
11,21.31136,80.04164,7,7,0.2,0.65,1,0
36,20.54768,77.99675,8,4,0.6,0.35,1,1
4,19.93784,75.16797,1,1,0.8,0.2,2,0
8,19.97318,79.22973,2,2,0.3,0.5,2,0
23,18.12518,76.23819,12,1,0.85,0.15,2,0
22,20.19467,73.84398,12,3,0.5,0.4,2,0
30,17.79247,73.93903,9,6,0.4,0.55,1,0
16,18.26097,76.75699,7,2,0.8,0.15,1,0
30,17.73943,73.83565,5,3,0.4,0.55,3,0
16,18.26372,76.38524,12,5,0.8,0.15,2,1
2,20.64853,76.89562,9,4,0.6,0.3,1,1
23,18.32933,75.90471,10,3,0.85,0.15,1,0
12,19.84698,77.10225,1,5,0.7,0.2,2,0
6,21.09187,79.48237,3,6,0.2,0.6,2,0
2,20.89293,77.02922,3,1,0.6,0.3,2,0
33,19.2525,73.20592,4,0,0.15,0.7,3,0
6,21.0187,79.64129,9,4,0.2,0.6,1,1
12,19.6958,76.99227,12,3,0.7,0.2,2,1
2,20.57081,76.82454,12,6,0.6,0.3,2,0
2,20.53311,77.07801,11,1,0.6,0.3,2,0
35,20.22308,77.05615,5,8,0.65,0.25,3,0
33,19.40868,73.22559,4,3,0.15,0.7,3,0
36,20.36043,77.97228,12,5,0.6,0.35,2,0
35,20.24102,77.24345,7,5,0.65,0.25,1,1
2,20.51768,76.90393,11,4,0.6,0.3,2,1
5,19.12372,75.81172,1,4,0.85,0.15,2,1
32,17.53389,75.91918,4,0,0.9,0.1,3,1
26,18.44987,73.94494,4,1,0.4,0.5,3,0
29,17.04249,74.42326,6,4,0.6,0.5,1,0
1,19.22635,74.55537,2,0,0.7,0.2,2,0
11,21.41454,80.18005,7,1,0.2,0.65,1,1
23,18.02228,76.23531,8,2,0.85,0.15,1,0
8,20.04653,79.12883,9,6,0.3,0.5,1,0
5,18.94504,75.74478,4,4,0.85,0.15,3,0
19,21.02408,78.95964,7,2,0.4,0.4,1,0
32,17.52305,75.90586,8,5,0.9,0.1,1,0
25,19.33694,76.57417,9,1,0.75,0.25,1,1
25,19.08678,76.9574,10,6,0.75,0.25,1,0
2,20.87812,77.00831,6,4,0.6,0.3,1,1
10,20.21941,79.848,1,7,0.2,0.7,2,0
25,19.17952,76.94133,2,5,0.75,0.25,2,1
21,21.52171,74.14337,3,6,0.5,0.4,2,0
21,21.39313,74.11224,8,7,0.5,0.4,1,0
22,20.18496,73.60727,11,8,0.5,0.4,2,1
15,16.5854,74.24234,4,1,0.2,0.7,3,0
33,19.12902,73.12601,8,2,0.15,0.7,1,0
25,19.25462,76.57373,5,7,0.75,0.25,3,1
1,18.96758,74.89193,4,7,0.7,0.2,3,1
21,21.31215,74.35352,7,1,0.5,0.4,1,1
26,18.65307,73.65441,10,5,0.4,0.5,1,1
20,19.28679,77.29813,11,2,0.7,0.3,2,1
4,19.75688,75.19513,4,7,0.8,0.2,3,1
21,21.23675,74.11253,10,5,0.5,0.4,1,1
7,20.35594,76.21199,4,2,0.6,0.25,3,0
24,19.74086,72.57917,2,1,0.2,0.6,2,0
19,21.0837,79.20396,6,7,0.4,0.4,1,0
19,21.2442,78.98434,4,6,0.4,0.4,3,0
28,17.16325,73.36703,11,8,0.1,0.7,2,0
27,18.54875,73.21511,6,6,0.15,0.65,1,0
3,20.96432,77.78459,11,0,0.5,0.3,2,0
19,21.12186,79.23909,10,2,0.4,0.4,1,0
21,21.45241,74.29247,10,4,0.5,0.4,1,0
35,20.2018,77.25621,1,7,0.65,0.25,2,0
31,16.33882,73.47536,4,7,0.1,0.6,3,1
22,19.90879,73.9525,12,6,0.5,0.4,2,1
31,16.46068,73.49615,10,8,0.1,0.6,1,1
20,19.08837,77.23608,2,8,0.7,0.3,2,1
15,16.71933,74.0912,2,7,0.2,0.7,2,0
26,18.42406,73.94233,12,7,0.4,0.5,2,0
3,20.95613,77.73557,7,4,0.5,0.3,1,1
33,19.10013,73.00039,2,4,0.15,0.7,2,0
17,19.04159,72.89702,8,1,0.1,0.8,1,1
34,20.87877,78.57145,6,5,0.5,0.35,1,0
2,20.85479,76.98406,10,1,0.6,0.3,1,0
10,20.29451,79.89055,3,2,0.2,0.7,2,1
4,19.67718,75.1905,4,5,0.8,0.2,3,1
14,19.86407,75.98029,11,8,0.75,0.2,2,0
3,20.88629,77.86934,8,0,0.5,0.3,1,0
19,21.02824,78.96469,5,2,0.4,0.4,3,0
36,20.31494,78.17707,5,4,0.6,0.35,3,0
18,19.14313,72.73641,10,3,0.1,0.75,1,1
27,18.52282,73.21925,2,7,0.15,0.65,2,0
32,17.66613,75.94612,12,4,0.9,0.1,2,0
12,19.90685,77.1171,11,6,0.7,0.2,2,0
13,21.19883,75.75191,2,3,0.65,0.35,2,0
5,19.00096,75.84774,9,2,0.85,0.15,1,1
5,19.11763,75.77632,3,8,0.85,0.15,2,1
11,21.40312,80.19768,2,8,0.2,0.65,2,0
26,18.35487,73.93763,5,7,0.4,0.5,3,0
18,19.0942,72.9009,10,8,0.1,0.75,1,0
30,17.50245,74.09572,11,2,0.4,0.55,2,1
28,17.13229,73.20087,7,5,0.1,0.7,1,1
3,20.81621,77.69415,4,8,0.5,0.3,3,0
14,19.94643,75.99538,4,0,0.75,0.2,3,1
33,19.07763,73.0559,6,6,0.15,0.7,1,0
8,20.15072,79.14429,3,2,0.3,0.5,2,1
24,19.61201,72.91334,10,5,0.2,0.6,1,1
19,21.34272,79.13854,9,3,0.4,0.4,1,0
19,21.23147,79.10628,4,7,0.4,0.4,3,1
33,19.13051,73.13934,8,3,0.15,0.7,1,1
30,17.5158,74.1509,9,3,0.4,0.55,1,1
22,19.88413,73.62159,9,7,0.5,0.4,1,0
30,17.59711,74.11566,12,2,0.4,0.55,2,1
20,19.14535,77.40503,5,2,0.7,0.3,3,1
35,20.26159,77.17871,1,1,0.65,0.25,2,0
12,19.65633,77.01593,6,8,0.7,0.2,1,0
20,19.04497,77.31495,9,2,0.7,0.3,1,0
3,20.83863,77.73916,6,1,0.5,0.3,1,1
6,20.97117,79.46591,6,8,0.2,0.6,1,0
19,21.13019,79.07919,12,0,0.4,0.4,2,0
20,19.15663,77.1122,8,0,0.7,0.3,1,0
20,19.08554,77.43103,12,0,0.7,0.3,2,0
9,20.81382,74.89728,8,4,0.6,0.3,1,1
13,20.98024,75.73177,11,2,0.65,0.35,2,0
19,21.31304,79.17561,12,7,0.4,0.4,2,0
26,18.32063,73.90456,7,4,0.4,0.5,1,1
23,18.25464,75.8858,1,3,0.85,0.15,2,0
18,19.15853,72.88983,5,2,0.1,0.75,3,0
15,16.66507,74.29844,9,6,0.2,0.7,1,0
13,20.85555,75.4063,10,1,0.65,0.35,1,0
6,21.33098,79.47658,11,4,0.2,0.6,2,1
17,19.05954,72.71376,9,2,0.1,0.8,1,0
31,16.47669,73.49695,9,6,0.1,0.6,1,0
36,20.40701,78.2647,3,6,0.6,0.35,2,0
32,17.83302,76.06665,3,2,0.9,0.1,2,0
32,17.50097,75.85719,10,8,0.9,0.1,1,0
28,16.84704,73.46604,5,6,0.1,0.7,3,0
29,16.91476,74.50624,10,1,0.6,0.5,1,0
5,19.12669,75.79209,8,1,0.85,0.15,1,1
5,18.99218,75.94561,8,7,0.85,0.15,1,1
27,18.32934,73.28249,10,2,0.15,0.65,1,0
35,20.15118,77.28068,7,5,0.65,0.25,1,1
17,19.27204,72.87115,6,3,0.1,0.8,1,0
23,18.10093,75.94373,3,2,0.85,0.15,2,1
21,21.38793,74.1061,12,6,0.5,0.4,2,0
13,20.96071,75.75754,2,3,0.65,0.35,2,0
24,19.58052,72.72806,10,2,0.2,0.6,1,0
36,20.24295,78.15721,6,2,0.6,0.35,1,0
12,19.81834,77.16973,6,4,0.7,0.2,1,0
12,19.89964,77.15516,6,0,0.7,0.2,1,1
6,21.08431,79.53129,7,3,0.2,0.6,1,1
11,21.49091,80.34623,9,2,0.2,0.65,1,0
4,19.75019,75.18371,7,2,0.8,0.2,1,0
33,19.13476,73.00242,8,2,0.15,0.7,1,0
31,16.34074,73.74509,7,1,0.1,0.6,1,1
21,21.30336,74.33322,12,1,0.5,0.4,2,0
35,20.18073,77.28139,3,1,0.65,0.25,2,1
1,19.14316,74.56761,4,8,0.7,0.2,3,0
9,20.98001,74.61176,1,3,0.6,0.3,2,0
14,19.76245,75.89965,4,5,0.75,0.2,3,0
32,17.69903,75.81983,2,2,0.9,0.1,2,0
16,18.22916,76.52115,6,1,0.8,0.15,1,0
3,21.10169,77.71204,8,6,0.5,0.3,1,0
1,18.97771,74.55347,1,8,0.7,0.2,2,0
25,19.35792,76.91677,6,0,0.75,0.25,1,1
20,19.23558,77.43901,2,1,0.7,0.3,2,0
4,19.95826,75.30058,11,6,0.8,0.2,2,0
34,20.83946,78.52703,11,8,0.5,0.35,2,0
26,18.60279,73.67508,2,5,0.4,0.5,2,1
5,18.82309,75.93235,12,8,0.85,0.15,2,1
9,20.82534,74.88557,11,1,0.6,0.3,2,0
6,21.00572,79.72481,8,2,0.2,0.6,1,0
27,18.59034,73.03565,9,7,0.15,0.65,1,0
33,19.28044,73.27759,8,0,0.15,0.7,1,0
19,20.96927,79.03402,12,4,0.4,0.4,2,0
35,20.05793,76.97094,2,2,0.65,0.25,2,0
13,20.8848,75.62294,4,1,0.65,0.35,3,0
33,19.2531,73.01812,4,6,0.15,0.7,3,0
18,19.17793,72.82805,3,5,0.1,0.75,2,1
36,20.45675,78.24932,5,2,0.6,0.35,3,0
10,20.11494,79.81773,5,5,0.2,0.7,3,0
25,19.28238,76.80805,3,5,0.75,0.25,2,1
36,20.49492,78.10197,10,5,0.6,0.35,1,1
28,16.79678,73.41806,10,5,0.1,0.7,1,1
6,21.10672,79.74561,7,4,0.2,0.6,1,1
12,19.77858,77.33968,11,4,0.7,0.2,2,1
11,21.50246,80.11646,8,0,0.2,0.65,1,0
3,20.97132,77.73936,9,1,0.5,0.3,1,0
4,20.04709,75.45408,10,7,0.8,0.2,1,0
15,16.64627,74.13015,12,5,0.2,0.7,2,1
26,18.37879,73.97445,9,2,0.4,0.5,1,0
28,16.92808,73.47699,11,0,0.1,0.7,2,0
31,16.42604,73.84224,9,1,0.1,0.6,1,1
33,19.22186,72.99676,2,5,0.15,0.7,2,1
5,19.16146,75.86434,6,5,0.85,0.15,1,1
31,16.32822,73.55367,3,5,0.1,0.6,2,1
11,21.30356,80.25462,2,5,0.2,0.65,2,1
26,18.4948,73.88742,9,4,0.4,0.5,1,1
26,18.65176,73.94285,6,3,0.4,0.5,1,0
16,18.50292,76.42467,2,1,0.8,0.15,2,0
30,17.80254,74.18407,1,6,0.4,0.55,2,1
9,20.84281,74.94048,5,3,0.6,0.3,3,0
24,19.83922,72.86154,10,7,0.2,0.6,1,0
29,16.77555,74.52913,3,3,0.6,0.5,2,0
32,17.63869,75.85698,9,6,0.9,0.1,1,0
27,18.63502,73.0804,10,0,0.15,0.65,1,0
4,20.03089,75.49094,1,1,0.8,0.2,2,1
11,21.35148,80.38253,9,8,0.2,0.65,1,0
29,16.94766,74.59533,4,4,0.6,0.5,3,1
19,21.30764,79.26858,12,6,0.4,0.4,2,0
4,19.86902,75.22187,7,3,0.8,0.2,1,1
19,21.09574,79.0081,7,8,0.4,0.4,1,0
24,19.51906,72.8607,11,7,0.2,0.6,2,0
4,20.02035,75.35564,3,1,0.8,0.2,2,0
5,18.79,75.72663,5,8,0.85,0.15,3,1
10,20.06143,79.81404,8,6,0.2,0.7,1,0
22,20.10269,73.84625,4,5,0.5,0.4,3,0
30,17.59113,73.90858,5,8,0.4,0.55,3,0
36,20.49499,78.13699,7,7,0.6,0.35,1,0
31,16.46225,73.70351,10,1,0.1,0.6,1,1
17,19.13286,72.73198,4,3,0.1,0.8,3,0
25,19.45897,76.74953,3,3,0.75,0.25,2,1
6,21.02005,79.79019,1,6,0.2,0.6,2,1
29,16.79424,74.76141,9,5,0.6,0.5,1,0
12,19.64479,77.143,7,0,0.7,0.2,1,0
4,19.68008,75.4756,2,0,0.8,0.2,2,0
14,19.73399,75.96195,2,6,0.75,0.2,2,0
19,21.07353,79.08291,5,0,0.4,0.4,3,0
35,19.97291,77.07392,3,8,0.65,0.25,2,0
8,20.13412,79.44027,7,7,0.3,0.5,1,0
16,18.41954,76.47505,8,0,0.8,0.15,1,0
17,19.05222,73.03119,6,0,0.1,0.8,1,0
33,19.28418,73.03298,2,8,0.15,0.7,2,0
4,19.93859,75.39291,1,3,0.8,0.2,2,0
29,16.77114,74.48053,8,3,0.6,0.5,1,0
26,18.36125,73.86911,10,0,0.4,0.5,1,0
18,19.08909,72.80861,10,3,0.1,0.75,1,1
10,20.27606,80.06228,2,8,0.2,0.7,2,0
26,18.35079,73.68023,11,6,0.4,0.5,2,0
20,19.19946,77.3694,12,2,0.7,0.3,2,1
3,21.01265,77.794,6,8,0.5,0.3,1,1
2,20.55683,76.97963,4,0,0.6,0.3,3,1
21,21.40503,74.32046,11,7,0.5,0.4,2,0
4,19.8868,75.51586,7,0,0.8,0.2,1,0
32,17.53076,75.70333,6,5,0.9,0.1,1,1
21,21.34376,74.32938,9,3,0.5,0.4,1,0
17,19.14827,72.96035,11,8,0.1,0.8,2,0
23,18.06576,75.94832,4,0,0.85,0.15,3,1
3,20.99915,77.58246,10,0,0.5,0.3,1,0
19,21.03011,79.13671,4,7,0.4,0.4,3,0
8,20.12831,79.33378,3,0,0.3,0.5,2,0
28,17.13393,73.124,1,5,0.1,0.7,2,0
36,20.50359,78.08776,2,4,0.6,0.35,2,0
13,21.00105,75.38247,4,5,0.65,0.35,3,0
15,16.78518,74.0446,1,6,0.2,0.7,2,0
21,21.24426,74.30569,5,0,0.5,0.4,3,1
20,19.27234,77.11319,3,2,0.7,0.3,2,0
23,18.27701,75.87065,9,4,0.85,0.15,1,1
32,17.6207,75.84177,7,4,0.9,0.1,1,0
